Series ID,Year,Period,Value,,
PCU4551--4551--,2014,M01,126.9,,
PCU4551--4551--,2014,M02,123.9,,
PCU4551--4551--,2014,M03,135.8,,
PCU4551--4551--,2014,M04,114.8,,
PCU4551--4551--,2014,M05,108.7,,
PCU4551--4551--,2014,M06,104.4,,
PCU4551--4551--,2014,M07,116.1,,
PCU4551--4551--,2014,M08,108.6,,
PCU4551--4551--,2014,M09,122.6,,
PCU4551--4551--,2014,M10,135.8,,
PCU4551--4551--,2014,M11,133.8,,
PCU4551--4551--,2014,M12,132.3,,
PCU4551--4551--,2015,M01,124.0,,
PCU4551--4551--,2015,M02,115.4,,
PCU4551--4551--,2015,M03,120.7,,
PCU4551--4551--,2015,M04,120.6,,
PCU4551--4551--,2015,M05,114.4,,
PCU4551--4551--,2015,M06,115.3,,
PCU4551--4551--,2015,M07,118.0,,
PCU4551--4551--,2015,M08,110.8,,
PCU4551--4551--,2015,M09,114.2,,
PCU4551--4551--,2015,M10,122.1,,
PCU4551--4551--,2015,M11,115.4,,
PCU4551--4551--,2015,M12,111.4,,
PCU4551--4551--,2016,M01,120.7,,
PCU4551--4551--,2016,M02,114.1,,
PCU4551--4551--,2016,M03,118.4,,
PCU4551--4551--,2016,M04,124.6,,
PCU4551--4551--,2016,M05,124.8,,
PCU4551--4551--,2016,M06,117.8,,
PCU4551--4551--,2016,M07,123.1,,
PCU4551--4551--,2016,M08,111.3,,
PCU4551--4551--,2016,M09,110.2,,
PCU4551--4551--,2016,M10,131.4,,
PCU4551--4551--,2016,M11,120.0,,
PCU4551--4551--,2016,M12,116.1,,
PCU4551--4551--,2017,M01,127.9,,
PCU4551--4551--,2017,M02,120.3,,
PCU4551--4551--,2017,M03,122.6,,
PCU4551--4551--,2017,M04,132.5,,
PCU4551--4551--,2017,M05,123.5,,
PCU4551--4551--,2017,M06,119.9,,
PCU4551--4551--,2017,M07,127.7,,
PCU4551--4551--,2017,M08,119.1,,
PCU4551--4551--,2017,M09,116.9,,
PCU4551--4551--,2017,M10,131.7,,
PCU4551--4551--,2017,M11,123.2,,
PCU4551--4551--,2017,M12,118.0,,
PCU4551--4551--,2018,M01,137.9,,
PCU4551--4551--,2018,M02,122.7,,
PCU4551--4551--,2018,M03,123.8,,
PCU4551--4551--,2018,M04,130.6,,
PCU4551--4551--,2018,M05,122.7,,
PCU4551--4551--,2018,M06,121.5,,
PCU4551--4551--,2018,M07,129.8,,
PCU4551--4551--,2018,M08,114.4,,
PCU4551--4551--,2018,M09,115.3,,
PCU4551--4551--,2018,M10,128.3,,
PCU4551--4551--,2018,M11,112.2,,
PCU4551--4551--,2018,M12,115.4,,
PCU4551--4551--,2019,M01,132.2,,
PCU4551--4551--,2019,M02,125.1,,
PCU4551--4551--,2019,M03,120.4,,
PCU4551--4551--,2019,M04,131.6,,
PCU4551--4551--,2019,M05,120.6,,
PCU4551--4551--,2019,M06,117.6,,
PCU4551--4551--,2019,M07,123.4,,
PCU4551--4551--,2019,M08,115.4,,
PCU4551--4551--,2019,M09,121.4,,
PCU4551--4551--,2019,M10,130.6,,
PCU4551--4551--,2019,M11,117.4,,
PCU4551--4551--,2019,M12,114.2,,
PCU4551--4551--,2020,M01,132.9,,
PCU4551--4551--,2020,M02,131.5,,
PCU4551--4551--,2020,M03,125.1,,
PCU4551--4551--,2020,M04,132.5,,
PCU4551--4551--,2020,M05,127.3,,
PCU4551--4551--,2020,M06,118.4,,
PCU4551--4551--,2020,M07,119.9,,
PCU4551--4551--,2020,M08,112.8,,
PCU4551--4551--,2020,M09,113.3,,
PCU4551--4551--,2020,M10,119.8,,
PCU4551--4551--,2020,M11,119.2,,
PCU4551--4551--,2020,M12,119.2,,
PCU4551--4551--,2021,M01,136.2,,
PCU4551--4551--,2021,M02,130.9,,
PCU4551--4551--,2021,M03,134.5,,
PCU4551--4551--,2021,M04,135.3,,
PCU4551--4551--,2021,M05,140.9,,
PCU4551--4551--,2021,M06,134.1,,
PCU4551--4551--,2021,M07,141.212,,
PCU4551--4551--,2021,M08,133.696,,
PCU4551--4551--,2021,M09,135.139,,
PCU4551--4551--,2021,M10,139.858,,
PCU4551--4551--,2021,M11,139.019,,
PCU4551--4551--,2021,M12,138.030,,
PCU4551--4551--,2022,M01,142.766,,
PCU4551--4551--,2022,M02,147.137,,
PCU4551--4551--,2022,M03,142.370,,
PCU4551--4551--,2022,M04,141.547,,
PCU4551--4551--,2022,M05,149.216,,
PCU4551--4551--,2022,M06,136.017,,
PCU4551--4551--,2022,M07,130.400,,
PCU4551--4551--,2022,M08,128.723,,
PCU4551--4551--,2022,M09,134.031,,
PCU4551--4551--,2022,M10,144.653,,
PCU4551--4551--,2022,M11,140.225,,
PCU4551--4551--,2022,M12,142.913,,
PCU4551--4551--,2023,M01,146.912,,
PCU4551--4551--,2023,M02,146.114,,
PCU4551--4551--,2023,M03,163.647,,
PCU4551--4551--,2023,M04,156.281,,
PCU4551--4551--,2023,M05,162.028,,
PCU4551--4551--,2023,M06,156.291,,
PCU4551--4551--,2023,M07,152.777,,
PCU4551--4551--,2023,M08,150.198,,
PCU4551--4551--,2023,M09,157.239,,
PCU4551--4551--,2023,M10,153.869,,
PCU4551--4551--,2023,M11,145.095,,
PCU4551--4551--,2023,M12,152.544,,
PCU4551--4551--,2024,M01,172.250,,
PCU4551--4551--,2024,M02,171.684,,
PCU4551--4551--,2024,M03,169.972,,
