Series ID,Year,Period,Value,,
PCU456---456---,2014,M01,145.1,,
PCU456---456---,2014,M02,148.9,,
PCU456---456---,2014,M03,149.7,,
PCU456---456---,2014,M04,148.6,,
PCU456---456---,2014,M05,150.3,,
PCU456---456---,2014,M06,151.0,,
PCU456---456---,2014,M07,150.4,,
PCU456---456---,2014,M08,149.0,,
PCU456---456---,2014,M09,147.3,,
PCU456---456---,2014,M10,144.5,,
PCU456---456---,2014,M11,147.6,,
PCU456---456---,2014,M12,147.0,,
PCU456---456---,2015,M01,147.0,,
PCU456---456---,2015,M02,145.6,,
PCU456---456---,2015,M03,144.1,,
PCU456---456---,2015,M04,142.5,,
PCU456---456---,2015,M05,140.3,,
PCU456---456---,2015,M06,141.3,,
PCU456---456---,2015,M07,142.7,,
PCU456---456---,2015,M08,143.9,,
PCU456---456---,2015,M09,145.9,,
PCU456---456---,2015,M10,140.5,,
PCU456---456---,2015,M11,147.5,,
PCU456---456---,2015,M12,145.3,,
PCU456---456---,2016,M01,145.9,,
PCU456---456---,2016,M02,140.9,,
PCU456---456---,2016,M03,143.0,,
PCU456---456---,2016,M04,141.3,,
PCU456---456---,2016,M05,139.9,,
PCU456---456---,2016,M06,142.9,,
PCU456---456---,2016,M07,142.0,,
PCU456---456---,2016,M08,142.6,,
PCU456---456---,2016,M09,144.9,,
PCU456---456---,2016,M10,144.6,,
PCU456---456---,2016,M11,144.9,,
PCU456---456---,2016,M12,144.8,,
PCU456---456---,2017,M01,144.0,,
PCU456---456---,2017,M02,139.8,,
PCU456---456---,2017,M03,138.0,,
PCU456---456---,2017,M04,136.5,,
PCU456---456---,2017,M05,137.4,,
PCU456---456---,2017,M06,136.7,,
PCU456---456---,2017,M07,138.1,,
PCU456---456---,2017,M08,138.9,,
PCU456---456---,2017,M09,139.6,,
PCU456---456---,2017,M10,145.6,,
PCU456---456---,2017,M11,147.3,,
PCU456---456---,2017,M12,146.4,,
PCU456---456---,2018,M01,144.5,,
PCU456---456---,2018,M02,138.8,,
PCU456---456---,2018,M03,138.9,,
PCU456---456---,2018,M04,139.5,,
PCU456---456---,2018,M05,139.7,,
PCU456---456---,2018,M06,139.7,,
PCU456---456---,2018,M07,138.7,,
PCU456---456---,2018,M08,140.6,,
PCU456---456---,2018,M09,139.0,,
PCU456---456---,2018,M10,144.7,,
PCU456---456---,2018,M11,153.4,,
PCU456---456---,2018,M12,152.7,,
PCU456---456---,2019,M01,151.7,,
PCU456---456---,2019,M02,145.9,,
PCU456---456---,2019,M03,142.1,,
PCU456---456---,2019,M04,140.1,,
PCU456---456---,2019,M05,137.6,,
PCU456---456---,2019,M06,140.5,,
PCU456---456---,2019,M07,143.3,,
PCU456---456---,2019,M08,145.5,,
PCU456---456---,2019,M09,147.3,,
PCU456---456---,2019,M10,148.6,,
PCU456---456---,2019,M11,152.5,,
PCU456---456---,2019,M12,150.1,,
PCU456---456---,2020,M01,153.4,,
PCU456---456---,2020,M02,150.8,,
PCU456---456---,2020,M03,146.7,,
PCU456---456---,2020,M04,141.9,,
PCU456---456---,2020,M05,142.0,,
PCU456---456---,2020,M06,142.7,,
PCU456---456---,2020,M07,142.2,,
PCU456---456---,2020,M08,144.4,,
PCU456---456---,2020,M09,147.5,,
PCU456---456---,2020,M10,150.2,,
PCU456---456---,2020,M11,153.3,,
PCU456---456---,2020,M12,149.2,,
PCU456---456---,2021,M01,146.5,,
PCU456---456---,2021,M02,144.3,,
PCU456---456---,2021,M03,142.3,,
PCU456---456---,2021,M04,144.2,,
PCU456---456---,2021,M05,144.8,,
PCU456---456---,2021,M06,148.0,,
PCU456---456---,2021,M07,150.591,,
PCU456---456---,2021,M08,148.390,,
PCU456---456---,2021,M09,148.897,,
PCU456---456---,2021,M10,149.448,,
PCU456---456---,2021,M11,148.518,,
PCU456---456---,2021,M12,149.407,,
PCU456---456---,2022,M01,149.227,,
PCU456---456---,2022,M02,150.987,,
PCU456---456---,2022,M03,149.603,,
PCU456---456---,2022,M04,148.269,,
PCU456---456---,2022,M05,147.691,,
PCU456---456---,2022,M06,146.928,,
PCU456---456---,2022,M07,148.983,,
PCU456---456---,2022,M08,148.586,,
PCU456---456---,2022,M09,148.728,,
PCU456---456---,2022,M10,145.891,,
PCU456---456---,2022,M11,145.697,,
PCU456---456---,2022,M12,144.769,,
PCU456---456---,2023,M01,146.281,,
PCU456---456---,2023,M02,144.001,,
PCU456---456---,2023,M03,145.453,,
PCU456---456---,2023,M04,147.643,,
PCU456---456---,2023,M05,146.838,,
PCU456---456---,2023,M06,147.648,,
PCU456---456---,2023,M07,146.410,,
PCU456---456---,2023,M08,148.554,,
PCU456---456---,2023,M09,147.482,,
PCU456---456---,2023,M10,147.344,,
PCU456---456---,2023,M11,147.108,,
PCU456---456---,2023,M12,145.906,,
PCU456---456---,2024,M01,143.317,,
PCU456---456---,2024,M02,144.661,,
PCU456---456---,2024,M03,143.346,,
PCU456---456---,2024,M04,144.425,,
PCU456---456---,2024,M05,143.670,,
PCU456---456---,2024,M06,144.143,,
PCU456---456---,2024,M07,144.262,,
PCU456---456---,2024,M08,142.518,,
PCU456---456---,2024,M09,142.607,,
PCU456---456---,2024,M10,141.533,,
PCU456---456---,2024,M11,142.055,,
PCU456---456---,2024,M12,141.841,,
