Date,Australia,Belgium,Brazil,Canada,Chile,Denmark,Finland,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
1/1/18,1.77%,0.08%,12.48%,39.67%,35.86%,42.77%,49.78%,4.85%,43.69%,124.90%,50.04%,42.94%,13.75%,19.01%,22.92%,11.74%,9.16%,50.93%,-2.25%,50.81%,88.03%,17.84%,54.41%,12.01%,-13.11%,36.04%,15.74%,25.71%
2/1/18,8.49%,5.00%,15.78%,14.29%,7.38%,22.34%,40.37%,8.14%,28.03%,78.26%,48.10%,35.22%,13.45%,19.47%,-22.52%,16.08%,-2.43%,43.31%,5.47%,53.80%,38.95%,-2.43%,37.41%,16.27%,17.66%,-5.71%,13.87%,22.05%
3/1/18,8.37%,-3.13%,23.34%,19.87%,19.15%,30.11%,37.41%,5.32%,23.47%,64.99%,40.32%,24.91%,7.84%,22.44%,-7.03%,15.75%,6.24%,67.09%,4.22%,39.12%,29.12%,15.59%,32.91%,3.38%,14.21%,8.81%,16.35%,23.66%
4/1/18,14.04%,2.06%,33.15%,19.84%,16.53%,33.94%,43.41%,7.66%,23.69%,57.15%,40.71%,18.09%,6.69%,19.02%,25.78%,11.80%,16.44%,50.84%,12.67%,31.15%,37.20%,5.79%,24.28%,8.18%,15.23%,114.30%,17.28%,22.99%
5/1/18,15.74%,4.81%,29.88%,22.32%,14.08%,28.57%,41.64%,6.95%,27.56%,56.51%,47.28%,15.11%,7.04%,22.12%,31.63%,11.37%,11.70%,41.81%,2.60%,32.76%,45.28%,7.64%,18.67%,7.40%,12.16%,120.57%,17.47%,24.73%
6/1/18,20.80%,6.49%,40.58%,24.23%,13.24%,36.20%,37.37%,7.10%,24.56%,64.05%,49.79%,18.59%,10.86%,18.44%,34.66%,12.49%,21.52%,42.91%,2.59%,26.55%,41.41%,6.27%,16.97%,11.40%,14.88%,104.69%,16.51%,25.53%
7/1/18,21.22%,7.35%,46.78%,27.29%,18.36%,48.34%,29.34%,7.61%,24.51%,65.87%,49.85%,11.96%,12.92%,17.93%,26.86%,14.24%,19.85%,41.47%,6.48%,22.48%,42.63%,12.13%,18.50%,7.02%,15.58%,100.14%,17.75%,25.79%
8/1/18,20.24%,6.55%,42.11%,26.14%,13.55%,44.67%,26.10%,7.60%,25.80%,63.49%,48.61%,17.03%,15.61%,20.30%,30.69%,13.55%,19.90%,36.71%,8.00%,28.90%,48.27%,10.66%,16.31%,6.73%,17.84%,103.02%,17.77%,26.30%
9/1/18,21.77%,5.93%,38.45%,27.97%,13.60%,43.24%,23.64%,6.90%,24.42%,72.60%,47.54%,18.12%,18.82%,20.38%,30.58%,13.97%,25.15%,42.83%,8.73%,27.55%,46.07%,8.03%,17.56%,6.64%,21.83%,100.90%,18.21%,26.36%
10/1/18,20.76%,8.03%,37.21%,28.71%,10.70%,43.71%,23.25%,7.40%,23.93%,63.66%,46.52%,22.36%,19.52%,20.80%,22.50%,13.65%,20.57%,41.59%,6.32%,29.69%,44.79%,7.74%,16.52%,8.41%,24.72%,91.24%,18.69%,25.89%
11/1/18,22.10%,8.27%,38.32%,29.26%,17.66%,44.15%,21.41%,7.92%,23.47%,70.09%,48.78%,22.78%,18.18%,23.90%,17.91%,14.89%,27.47%,41.07%,13.81%,27.77%,45.89%,8.33%,15.20%,9.95%,24.58%,92.39%,18.77%,25.81%
12/1/18,23.92%,10.46%,40.62%,29.34%,18.01%,46.76%,18.88%,7.58%,22.68%,68.93%,50.99%,27.30%,14.46%,26.11%,24.32%,14.37%,22.52%,39.17%,13.16%,27.14%,44.15%,12.17%,18.07%,9.71%,24.96%,89.11%,18.52%,25.22%
