Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,30.36,30.46,30.58,30.57,30.59,30.76,30.77,30.86,30.89,30.93,31.09,31.03
2015,31.14,31.21,31.30,31.37,31.56,31.53,31.50,31.60,31.67,31.70,31.76,31.79
2016,32.10,31.96,32.16,32.17,32.21,32.15,32.41,32.47,32.56,32.51,32.61,32.66
2017,32.64,32.79,32.75,32.89,32.90,33.01,33.22,33.34,33.48,33.75,33.69,34.00
2018,34.27,34.21,34.40,34.43,34.61,34.63,34.77,34.89,35.15,35.02,35.26,35.34
2019,35.42,35.49,35.55,35.69,35.78,35.86,35.94,36.15,36.05,36.13,36.39,36.50
2020,36.65,36.89,36.98,37.33,37.60,37.81,37.74,38.24,38.29,38.68,38.81,39.08
2021,39.25,39.63,39.81,39.93,40.22,40.13,40.20,40.12,40.19,40.51,40.68,40.69
2022,40.87,40.80,41.09,41.23,41.23,41.48,41.64,41.70,41.96,41.99,42.08,42.37
2023,42.50,42.57,42.75,42.73,43.00,43.26,43.54,43.89,44.10,44.14,44.36,44.51
2024,44.78,44.95,45.10,45.24,45.44,45.45,45.58,45.83,45.84,46.04,46.15,46.35
