Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,33.40,33.44,33.68,33.88,33.94,34.09,34.26,34.32,34.41,34.29,34.39,34.42
2015,34.53,34.64,34.69,34.74,34.89,34.94,35.00,35.32,35.39,35.55,35.77,35.86
2016,36.05,36.28,36.11,36.25,36.57,36.52,36.62,36.77,37.01,37.49,37.43,37.52
2017,37.54,37.63,37.60,38.06,38.18,38.49,38.68,38.60,38.55,38.59,38.66,38.85
2018,38.95,39.15,39.32,39.45,39.62,39.82,39.79,40.16,40.62,40.88,41.14,41.54
2019,41.71,41.73,42.08,41.82,41.98,42.01,42.23,42.94,42.22,42.34,42.64,42.69
2020,42.84,43.01,43.24,43.63,43.65,43.48,44.22,44.07,44.00,44.71,44.51,44.24
2021,44.37,44.61,44.12,44.27,44.17,44.26,44.40,44.31,44.33,44.84,44.74,45.00
2022,45.09,45.40,45.52,45.71,46.04,46.46,46.62,47.36,47.78,47.64,47.56,47.77
2023,47.76,47.98,48.21,47.81,48.22,48.23,48.31,48.44,48.44,48.71,49.15,49.11
2024,49.14,49.17,49.33,49.17,49.39,49.57,49.80,50.38,50.42,51.25,51.29,51.31
