Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,24.67,24.73,24.73,24.71,24.74,24.83,24.84,24.89,24.83,24.91,24.93,24.92
2015,24.99,25.04,25.10,25.12,25.15,25.14,25.23,25.37,25.40,25.43,25.51,25.53
2016,25.62,25.66,25.76,25.87,25.97,25.99,26.01,26.13,26.13,26.28,26.25,26.32
2017,26.39,26.42,26.42,26.55,26.52,26.54,26.67,26.59,26.71,26.74,26.75,26.77
2018,26.86,26.86,26.93,26.95,26.95,27.02,27.01,27.08,27.12,27.16,27.26,27.30
2019,27.28,27.46,27.50,27.47,27.58,27.68,27.72,27.78,27.86,27.91,28.02,28.16
2020,28.20,28.29,28.42,29.26,29.04,28.68,28.80,28.93,28.89,28.88,29.01,29.02
2021,29.04,29.20,29.21,29.32,29.55,29.65,29.80,29.87,30.01,30.13,30.22,30.36
2022,30.56,30.51,30.64,30.80,30.86,30.86,30.96,31.07,31.14,31.31,31.41,31.49
2023,31.68,31.71,31.91,32.06,32.18,32.43,32.61,32.63,32.77,32.85,33.06,33.23
2024,33.35,33.44,33.65,33.66,33.83,34.04,34.14,34.25,34.32,34.42,34.50,34.60
