Series ID,Year,Period,Value,,
PCU72111-72111-,2014,M01,125.6,,
PCU72111-72111-,2014,M02,129.9,,
PCU72111-72111-,2014,M03,132.2,,
PCU72111-72111-,2014,M04,132.5,,
PCU72111-72111-,2014,M05,133.4,,
PCU72111-72111-,2014,M06,135.6,,
PCU72111-72111-,2014,M07,137.4,,
PCU72111-72111-,2014,M08,139.4,,
PCU72111-72111-,2014,M09,135.5,,
PCU72111-72111-,2014,M10,138.5,,
PCU72111-72111-,2014,M11,131.5,,
PCU72111-72111-,2014,M12,129.1,,
PCU72111-72111-,2015,M01,129.4,,
PCU72111-72111-,2015,M02,134.8,,
PCU72111-72111-,2015,M03,138.0,,
PCU72111-72111-,2015,M04,135.6,,
PCU72111-72111-,2015,M05,136.3,,
PCU72111-72111-,2015,M06,139.6,,
PCU72111-72111-,2015,M07,145.3,,
PCU72111-72111-,2015,M08,141.6,,
PCU72111-72111-,2015,M09,137.1,,
PCU72111-72111-,2015,M10,139.1,,
PCU72111-72111-,2015,M11,131.2,,
PCU72111-72111-,2015,M12,131.0,,
PCU72111-72111-,2016,M01,132.1,,
PCU72111-72111-,2016,M02,135.0,,
PCU72111-72111-,2016,M03,140.5,,
PCU72111-72111-,2016,M04,137.6,,
PCU72111-72111-,2016,M05,138.5,,
PCU72111-72111-,2016,M06,145.4,,
PCU72111-72111-,2016,M07,148.9,,
PCU72111-72111-,2016,M08,146.3,,
PCU72111-72111-,2016,M09,140.6,,
PCU72111-72111-,2016,M10,142.8,,
PCU72111-72111-,2016,M11,133.5,,
PCU72111-72111-,2016,M12,132.9,,
PCU72111-72111-,2017,M01,132.6,,
PCU72111-72111-,2017,M02,137.6,,
PCU72111-72111-,2017,M03,141.7,,
PCU72111-72111-,2017,M04,142.4,,
PCU72111-72111-,2017,M05,142.0,,
PCU72111-72111-,2017,M06,146.8,,
PCU72111-72111-,2017,M07,153.4,,
PCU72111-72111-,2017,M08,146.6,,
PCU72111-72111-,2017,M09,142.7,,
PCU72111-72111-,2017,M10,144.9,,
PCU72111-72111-,2017,M11,138.5,,
PCU72111-72111-,2017,M12,135.6,,
PCU72111-72111-,2018,M01,138.4,,
PCU72111-72111-,2018,M02,147.2,,
PCU72111-72111-,2018,M03,152.3,,
PCU72111-72111-,2018,M04,143.2,,
PCU72111-72111-,2018,M05,144.4,,
PCU72111-72111-,2018,M06,149.1,,
PCU72111-72111-,2018,M07,156.2,,
PCU72111-72111-,2018,M08,153.6,,
PCU72111-72111-,2018,M09,147.1,,
PCU72111-72111-,2018,M10,150.1,,
PCU72111-72111-,2018,M11,144.4,,
PCU72111-72111-,2018,M12,142.6,,
PCU72111-72111-,2019,M01,142.0,,
PCU72111-72111-,2019,M02,151.3,,
PCU72111-72111-,2019,M03,153.1,,
PCU72111-72111-,2019,M04,149.6,,
PCU72111-72111-,2019,M05,153.4,,
PCU72111-72111-,2019,M06,155.8,,
PCU72111-72111-,2019,M07,159.1,,
PCU72111-72111-,2019,M08,156.9,,
PCU72111-72111-,2019,M09,151.4,,
PCU72111-72111-,2019,M10,152.7,,
PCU72111-72111-,2019,M11,146.5,,
PCU72111-72111-,2019,M12,145.4,,
PCU72111-72111-,2020,M01,146.4,,
PCU72111-72111-,2020,M02,142.6,,
PCU72111-72111-,2020,M03,143.7,,
PCU72111-72111-,2020,M04,125.2,,
PCU72111-72111-,2020,M05,126.4,,
PCU72111-72111-,2020,M06,127.8,,
PCU72111-72111-,2020,M07,130.1,,
PCU72111-72111-,2020,M08,128.9,,
PCU72111-72111-,2020,M09,127.8,,
PCU72111-72111-,2020,M10,129.6,,
PCU72111-72111-,2020,M11,125.7,,
PCU72111-72111-,2020,M12,127.4,,
PCU72111-72111-,2021,M01,132.1,,
PCU72111-72111-,2021,M02,133.6,,
PCU72111-72111-,2021,M03,134.8,,
PCU72111-72111-,2021,M04,134.7,,
PCU72111-72111-,2021,M05,135.3,,
PCU72111-72111-,2021,M06,143.2,,
PCU72111-72111-,2021,M07,153.359,,
PCU72111-72111-,2021,M08,152.338,,
PCU72111-72111-,2021,M09,146.897,,
PCU72111-72111-,2021,M10,147.616,,
PCU72111-72111-,2021,M11,148.356,,
PCU72111-72111-,2021,M12,155.218,,
PCU72111-72111-,2022,M01,152.245,,
PCU72111-72111-,2022,M02,154.939,,
PCU72111-72111-,2022,M03,173.253,,
PCU72111-72111-,2022,M04,165.907,,
PCU72111-72111-,2022,M05,162.895,,
PCU72111-72111-,2022,M06,175.523,,
PCU72111-72111-,2022,M07,177.979,,
PCU72111-72111-,2022,M08,169.871,,
PCU72111-72111-,2022,M09,163.417,,
PCU72111-72111-,2022,M10,169.551,,
PCU72111-72111-,2022,M11,168.184,,
PCU72111-72111-,2022,M12,168.510,,
PCU72111-72111-,2023,M01,161.093,,
PCU72111-72111-,2023,M02,164.399,,
PCU72111-72111-,2023,M03,175.409,,
PCU72111-72111-,2023,M04,175.042,,
PCU72111-72111-,2023,M05,170.231,,
PCU72111-72111-,2023,M06,181.396,,
PCU72111-72111-,2023,M07,182.054,,
PCU72111-72111-,2023,M08,176.525,,
PCU72111-72111-,2023,M09,173.035,,
PCU72111-72111-,2023,M10,171.275,,
PCU72111-72111-,2023,M11,166.901,,
PCU72111-72111-,2023,M12,165.884,,
PCU72111-72111-,2024,M01,165.986,,
PCU72111-72111-,2024,M02,166.651,,
PCU72111-72111-,2024,M03,171.932,,
PCU72111-72111-,2024,M04,173.159,,
PCU72111-72111-,2024,M05,175.684,,
PCU72111-72111-,2024,M06,185.771,,
PCU72111-72111-,2024,M07,180.446,,
PCU72111-72111-,2024,M08,179.001,,
PCU72111-72111-,2024,M09,177.535,,
PCU72111-72111-,2024,M10,179.786,,
PCU72111-72111-,2024,M11,174.428,,
PCU72111-72111-,2024,M12,167.103,,
