Series ID,Year,Period,Value,,
PCUAINFO-AINFO-,2014,M01,103.3,,
PCUAINFO-AINFO-,2014,M02,103.5,,
PCUAINFO-AINFO-,2014,M03,103.5,,
PCUAINFO-AINFO-,2014,M04,103.4,,
PCUAINFO-AINFO-,2014,M05,103.3,,
PCUAINFO-AINFO-,2014,M06,103.2,,
PCUAINFO-AINFO-,2014,M07,103.2,,
PCUAINFO-AINFO-,2014,M08,103.3,,
PCUAINFO-AINFO-,2014,M09,102.9,,
PCUAINFO-AINFO-,2014,M10,103.3,,
PCUAINFO-AINFO-,2014,M11,103.1,,
PCUAINFO-AINFO-,2014,M12,103.0,,
PCUAINFO-AINFO-,2015,M01,102.9,,
PCUAINFO-AINFO-,2015,M02,102.6,,
PCUAINFO-AINFO-,2015,M03,102.4,,
PCUAINFO-AINFO-,2015,M04,103.0,,
PCUAINFO-AINFO-,2015,M05,102.7,,
PCUAINFO-AINFO-,2015,M06,102.6,,
PCUAINFO-AINFO-,2015,M07,102.4,,
PCUAINFO-AINFO-,2015,M08,102.3,,
PCUAINFO-AINFO-,2015,M09,102.4,,
PCUAINFO-AINFO-,2015,M10,102.3,,
PCUAINFO-AINFO-,2015,M11,102.3,,
PCUAINFO-AINFO-,2015,M12,102.1,,
PCUAINFO-AINFO-,2016,M01,102.4,,
PCUAINFO-AINFO-,2016,M02,102.4,,
PCUAINFO-AINFO-,2016,M03,102.4,,
PCUAINFO-AINFO-,2016,M04,102.7,,
PCUAINFO-AINFO-,2016,M05,102.7,,
PCUAINFO-AINFO-,2016,M06,102.6,,
PCUAINFO-AINFO-,2016,M07,102.4,,
PCUAINFO-AINFO-,2016,M08,102.6,,
PCUAINFO-AINFO-,2016,M09,102.5,,
PCUAINFO-AINFO-,2016,M10,102.9,,
PCUAINFO-AINFO-,2016,M11,103.3,,
PCUAINFO-AINFO-,2016,M12,102.4,,
PCUAINFO-AINFO-,2017,M01,101.7,,
PCUAINFO-AINFO-,2017,M02,101.8,,
PCUAINFO-AINFO-,2017,M03,102.3,,
PCUAINFO-AINFO-,2017,M04,102.3,,
PCUAINFO-AINFO-,2017,M05,102.4,,
PCUAINFO-AINFO-,2017,M06,102.2,,
PCUAINFO-AINFO-,2017,M07,101.8,,
PCUAINFO-AINFO-,2017,M08,101.7,,
PCUAINFO-AINFO-,2017,M09,101.7,,
PCUAINFO-AINFO-,2017,M10,102.4,,
PCUAINFO-AINFO-,2017,M11,102.0,,
PCUAINFO-AINFO-,2017,M12,102.2,,
PCUAINFO-AINFO-,2018,M01,102.0,,
PCUAINFO-AINFO-,2018,M02,101.8,,
PCUAINFO-AINFO-,2018,M03,102.4,,
PCUAINFO-AINFO-,2018,M04,102.2,,
PCUAINFO-AINFO-,2018,M05,102.6,,
PCUAINFO-AINFO-,2018,M06,102.6,,
PCUAINFO-AINFO-,2018,M07,102.3,,
PCUAINFO-AINFO-,2018,M08,102.6,,
PCUAINFO-AINFO-,2018,M09,102.8,,
PCUAINFO-AINFO-,2018,M10,103.1,,
PCUAINFO-AINFO-,2018,M11,102.9,,
PCUAINFO-AINFO-,2018,M12,102.5,,
PCUAINFO-AINFO-,2019,M01,102.8,,
PCUAINFO-AINFO-,2019,M02,102.7,,
PCUAINFO-AINFO-,2019,M03,102.9,,
PCUAINFO-AINFO-,2019,M04,103.3,,
PCUAINFO-AINFO-,2019,M05,103.6,,
PCUAINFO-AINFO-,2019,M06,103.2,,
PCUAINFO-AINFO-,2019,M07,103.2,,
PCUAINFO-AINFO-,2019,M08,103.1,,
PCUAINFO-AINFO-,2019,M09,103.5,,
PCUAINFO-AINFO-,2019,M10,103.6,,
PCUAINFO-AINFO-,2019,M11,103.7,,
PCUAINFO-AINFO-,2019,M12,103.6,,
PCUAINFO-AINFO-,2020,M01,104.2,,
PCUAINFO-AINFO-,2020,M02,104.3,,
PCUAINFO-AINFO-,2020,M03,104.6,,
PCUAINFO-AINFO-,2020,M04,104.5,,
PCUAINFO-AINFO-,2020,M05,103.8,,
PCUAINFO-AINFO-,2020,M06,103.8,,
PCUAINFO-AINFO-,2020,M07,104.1,,
PCUAINFO-AINFO-,2020,M08,104.5,,
PCUAINFO-AINFO-,2020,M09,104.6,,
PCUAINFO-AINFO-,2020,M10,105.5,,
PCUAINFO-AINFO-,2020,M11,105.6,,
PCUAINFO-AINFO-,2020,M12,105.1,,
PCUAINFO-AINFO-,2021,M01,105.3,,
PCUAINFO-AINFO-,2021,M02,105.2,,
PCUAINFO-AINFO-,2021,M03,105.5,,
PCUAINFO-AINFO-,2021,M04,106.0,,
PCUAINFO-AINFO-,2021,M05,106.0,,
PCUAINFO-AINFO-,2021,M06,106.3,,
PCUAINFO-AINFO-,2021,M07,106.031,,
PCUAINFO-AINFO-,2021,M08,106.069,,
PCUAINFO-AINFO-,2021,M09,106.133,,
PCUAINFO-AINFO-,2021,M10,106.567,,
PCUAINFO-AINFO-,2021,M11,106.705,,
PCUAINFO-AINFO-,2021,M12,106.722,,
PCUAINFO-AINFO-,2022,M01,107.113,,
PCUAINFO-AINFO-,2022,M02,106.571,,
PCUAINFO-AINFO-,2022,M03,107.359,,
PCUAINFO-AINFO-,2022,M04,107.276,,
PCUAINFO-AINFO-,2022,M05,107.888,,
PCUAINFO-AINFO-,2022,M06,107.774,,
PCUAINFO-AINFO-,2022,M07,107.839,,
PCUAINFO-AINFO-,2022,M08,108.003,,
PCUAINFO-AINFO-,2022,M09,108.777,,
PCUAINFO-AINFO-,2022,M10,109.359,,
PCUAINFO-AINFO-,2022,M11,109.097,,
PCUAINFO-AINFO-,2022,M12,109.059,,
PCUAINFO-AINFO-,2023,M01,110.090,,
PCUAINFO-AINFO-,2023,M02,110.025,,
PCUAINFO-AINFO-,2023,M03,110.281,,
PCUAINFO-AINFO-,2023,M04,110.744,,
PCUAINFO-AINFO-,2023,M05,111.276,,
PCUAINFO-AINFO-,2023,M06,111.328,,
PCUAINFO-AINFO-,2023,M07,111.022,,
PCUAINFO-AINFO-,2023,M08,110.964,,
PCUAINFO-AINFO-,2023,M09,110.519,,
PCUAINFO-AINFO-,2023,M10,110.981,,
PCUAINFO-AINFO-,2023,M11,111.068,,
PCUAINFO-AINFO-,2023,M12,111.865,,
PCUAINFO-AINFO-,2024,M01,112.031,,
PCUAINFO-AINFO-,2024,M02,112.422,,
PCUAINFO-AINFO-,2024,M03,112.513,,
PCUAINFO-AINFO-,2024,M04,114.002,,
PCUAINFO-AINFO-,2024,M05,114.643,,
PCUAINFO-AINFO-,2024,M06,114.962,,
PCUAINFO-AINFO-,2024,M07,116.021,,
PCUAINFO-AINFO-,2024,M08,115.813,,
