Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,7913,7932,7932,7944,7951,7965,7980,7994,8009,8018,8036,8042
2015,8059,8070,8081,8086,8097,8115,8134,8145,8152,8167,8182,8189
2016,8207,8210,8226,8249,8265,8281,8304,8320,8327,8333,8344,8370
2017,8397,8400,8407,8424,8436,8452,8465,8476,8479,8482,8490,8496
2018,8503,8527,8538,8546,8572,8590,8600,8612,8629,8643,8651,8661
2019,8671,8683,8705,8723,8736,8749,8770,8787,8785,8801,8814,8823
2020,8838,8873,8853,8589,8607,8622,8623,8646,8676,8696,8706,8722
2021,8733,8726,8736,8752,8762,8768,8803,8821,8848,8880,8910,8938
2022,8935,8983,9002,9038,9051,9058,9073,9089,9095,9123,9134,9145
2023,9145,9146,9150,9179,9192,9201,9219,9223,9223,9223,9227,9233
2024,9229,9222,9226,9223,9235,9248,9244,9251,9257,9262,9273,9286
