Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,14489,14509,14564,14614,14670,14693,14703,14725,14768,14811,14849,14892
2015,14915,14972,14981,15023,15103,15108,15168,15201,15279,15316,15374,15406
2016,15454,15494,15535,15562,15583,15639,15679,15725,15785,15780,15826,15845
2017,15874,15917,15941,16006,16046,16087,16122,16150,16140,16133,16160,16183
2018,16209,16231,16239,16226,16261,16310,16329,16343,16325,16356,16361,16412
2019,16488,16494,16504,16527,16507,16512,16522,16602,16673,16722,16761,16805
2020,16814,16899,16164,8715,9936,11764,12402,12566,13075,13337,13260,12796
2021,12792,13139,13298,13552,13762,14064,14486,14606,14738,14957,15086,15254
2022,15328,15444,15523,15611,15670,15760,15910,15973,16055,16150,16205,16255
2023,16345,16412,16447,16489,16528,16588,16629,16681,16708,16765,16775,16816
2024,16813,16839,16893,16884,16902,16906,16944,16953,17014,17006,17058,17101
