Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,12081,12106,12120,12134,12146,12170,12189,12208,12226,12259,12284,12292
2015,12292,12301,12312,12318,12333,12334,12349,12345,12354,12362,12357,12362
2016,12383,12365,12342,12353,12332,12350,12372,12348,12347,12345,12342,12355
2017,12366,12380,12393,12400,12409,12422,12423,12467,12477,12490,12505,12533
2018,12561,12584,12610,12631,12657,12691,12711,12725,12744,12767,12777,12796
2019,12828,12818,12825,12822,12818,12824,12827,12826,12825,12771,12816,12798
2020,12785,12780,12721,11419,11652,11982,12019,12047,12102,12124,12154,12194
2021,12188,12217,12272,12232,12264,12285,12353,12401,12439,12497,12534,12575
2022,12602,12649,12717,12768,12787,12817,12852,12882,12899,12930,12935,12934
2023,12942,12940,12932,12941,12936,12945,12939,12941,12954,12923,12948,12960
2024,12966,12957,12951,12958,12961,12945,12951,12925,12913,12861,12886,12873
